Name;Size;"First name";"Last name";Downloads;Date;Path
EoS_Chap1_4on1.pdf;387360;Johannes;Straubinger;188;"28.10.2021 15:33";"Chapter 1/EoS_Chap1_4on1.pdf"
EoS_Chap1.pdf;394970;Johannes;Straubinger;276;"28.10.2021 15:33";"Chapter 1/EoS_Chap1.pdf"
EoS_Chap2_4on1.pdf;827424;Johannes;Straubinger;118;"29.10.2021 12:32";"Chapter 2/EoS_Chap2_4on1.pdf"
EoS_Chap2_Code.R;5872;Johannes;Straubinger;83;"29.10.2021 12:32";"Chapter 2/EoS_Chap2_Code.R"
EoS_Chap2.pdf;846351;Johannes;Straubinger;210;"29.10.2021 12:32";"Chapter 2/EoS_Chap2.pdf"
Example2-1.RData;6681;Johannes;Straubinger;85;"29.10.2021 12:32";"Chapter 2/Example2-1.RData"
Example2-4.RData;339;Johannes;Straubinger;72;"29.10.2021 12:32";"Chapter 2/Example2-4.RData"
Example2-6.RData;748;Johannes;Straubinger;70;"29.10.2021 12:32";"Chapter 2/Example2-6.RData"
Example2-8.RData;251;Johannes;Straubinger;67;"29.10.2021 12:32";"Chapter 2/Example2-8.RData"
EoS_Chap3_4on1.pdf;604777;Johannes;Straubinger;63;"11.11.2021 15:10";"Chapter 3/EoS_Chap3_4on1.pdf"
EoS_Chap3_Code.R;4686;Johannes;Straubinger;55;"11.11.2021 15:10";"Chapter 3/EoS_Chap3_Code.R"
EoS_Chap3.pdf;635870;Johannes;Straubinger;151;"11.11.2021 15:10";"Chapter 3/EoS_Chap3.pdf"
Example3-4.RData;187;Johannes;Straubinger;52;"11.11.2021 15:10";"Chapter 3/Example3-4.RData"
EoS_Chap4_4on1.pdf;570805;Johannes;Straubinger;56;"11.11.2021 15:12";"Chapter 4/EoS_Chap4_4on1.pdf"
EoS_Chap4_Code.R;3893;Johannes;Straubinger;53;"11.11.2021 15:12";"Chapter 4/EoS_Chap4_Code.R"
EoS_Chap4.pdf;597636;Johannes;Straubinger;130;"11.11.2021 15:12";"Chapter 4/EoS_Chap4.pdf"
Example2-8.RData;240;Johannes;Straubinger;51;"11.11.2021 15:12";"Chapter 4/Example2-8.RData"
Example4-2.RData;206;Johannes;Straubinger;53;"11.11.2021 15:12";"Chapter 4/Example4-2.RData"
Example4-4.RData;144;Johannes;Straubinger;54;"11.11.2021 15:12";"Chapter 4/Example4-4.RData"
Example4-5.RData;97;Johannes;Straubinger;54;"11.11.2021 15:12";"Chapter 4/Example4-5.RData"
Example4-6.RData;148;Johannes;Straubinger;52;"11.11.2021 15:12";"Chapter 4/Example4-6.RData"
EoS_Chap5_4on1.pdf;457015;Johannes;Straubinger;50;"25.11.2021 15:22";"Chapter 5/EoS_Chap5_4on1.pdf"
EoS_Chap5_Code.R;2981;Johannes;Straubinger;45;"25.11.2021 15:22";"Chapter 5/EoS_Chap5_Code.R"
EoS_Chap5.pdf;480603;Johannes;Straubinger;111;"25.11.2021 15:22";"Chapter 5/EoS_Chap5.pdf"
Example5-10.RData;139;Johannes;Straubinger;47;"25.11.2021 15:22";"Chapter 5/Example5-10.RData"
EoS_Chap6_4on1.pdf;646954;Johannes;Straubinger;50;"25.11.2021 15:22";"Chapter 6/EoS_Chap6_4on1.pdf"
EoS_Chap6_Code.R;7501;Johannes;Straubinger;44;"25.11.2021 15:22";"Chapter 6/EoS_Chap6_Code.R"
EoS_Chap6.pdf;691324;Johannes;Straubinger;108;"25.11.2021 15:22";"Chapter 6/EoS_Chap6.pdf"
Example6-1.RData;276;Johannes;Straubinger;44;"25.11.2021 15:22";"Chapter 6/Example6-1.RData"
EoS_Chap7_4on1.pdf;701804;Johannes;Straubinger;46;"09.12.2021 14:50";"Chapter 7/EoS_Chap7_4on1.pdf"
EoS_Chap7_Code.R;4519;Johannes;Straubinger;39;"09.12.2021 14:50";"Chapter 7/EoS_Chap7_Code.R"
EoS_Chap7.pdf;735406;Johannes;Straubinger;97;"09.12.2021 14:50";"Chapter 7/EoS_Chap7.pdf"
EoS_Chap8_4on1.pdf;2414900;Johannes;Straubinger;44;"09.12.2021 14:51";"Chapter 8/EoS_Chap8_4on1.pdf"
EoS_Chap8_Code.R;4318;Johannes;Straubinger;39;"09.12.2021 14:51";"Chapter 8/EoS_Chap8_Code.R"
EoS_Chap8.pdf;2447765;Johannes;Straubinger;79;"09.12.2021 14:51";"Chapter 8/EoS_Chap8.pdf"
EoS_Chap9_4on1.pdf;709676;Johannes;Straubinger;32;"06.01.2022 16:01";"Chapter 9/EoS_Chap9_4on1.pdf"
EoS_Chap9_Code.R;6195;Johannes;Straubinger;31;"06.01.2022 16:01";"Chapter 9/EoS_Chap9_Code.R"
EoS_Chap9.pdf;757695;Johannes;Straubinger;71;"06.01.2022 16:01";"Chapter 9/EoS_Chap9.pdf"
Example9-12.RData;275;Johannes;Straubinger;32;"06.01.2022 16:01";"Chapter 9/Example9-12.RData"
Example9-19.RData;1594;Johannes;Straubinger;32;"06.01.2022 16:01";"Chapter 9/Example9-19.RData"
Example9-21.RData;109;Johannes;Straubinger;32;"06.01.2022 16:01";"Chapter 9/Example9-21.RData"
Example9-22.RData;234;Johannes;Straubinger;32;"06.01.2022 16:01";"Chapter 9/Example9-22.RData"
Example9-23.RData;162;Johannes;Straubinger;33;"06.01.2022 16:01";"Chapter 9/Example9-23.RData"
EoS_Chap10_4on1.pdf;835386;Johannes;Straubinger;37;"06.01.2022 16:02";"Chapter 10/EoS_Chap10_4on1.pdf"
EoS_Chap10_Code.R;4594;Johannes;Straubinger;34;"06.01.2022 16:02";"Chapter 10/EoS_Chap10_Code.R"
EoS_Chap10.pdf;861764;Johannes;Straubinger;72;"06.01.2022 16:02";"Chapter 10/EoS_Chap10.pdf"
